feature,importance,gain_pct,gain_cumul_pct,rank
chrono_status_total_change,285470.6875,8.949570807968891,8.949570807968891,1
compactness,204901.359375,6.423704095278235,15.373274903247125,2
te_geo_cell_class4,190756.359375,5.98025513669218,21.353530039939304,3
te_geo_cell_class5,155324.109375,4.869446061905278,26.222976101844583,4
chrono_status_min_jump,115264.5625,3.6135701804526104,29.836546282297192,5
chrono_status_4,104257.5,3.268496274286713,33.1050425565839,6
te_geo_cell_class2,81721.1875,2.5619777653793347,35.667020321963236,7
status_net_change,76726.78125,2.405401996533935,38.07242231849717,8
perimeter,75452.609375,2.365456419225459,40.43787873772263,9
te_geo_cell_class1,65065.1875,2.0398083872097112,42.47768712493234,10
centroid_lat,57182.92578125,1.792697694351287,44.27038481928363,11
centroid_lat_bin,54431.71484375,1.7064466073887605,45.97683142667239,12
status_max,37944.0234375,1.1895537418115387,47.16638516848393,13
area_vs_mean_neighbor_ratio,28610.30859375,0.8969396642434839,48.06332483272741,14
te_geo_cell_class3,27529.642578125,0.8630605395203841,48.92638537224779,15
log_area_x_compactness,26605.7421875,0.8340960527010199,49.760481424948814,16
status_mean,22832.1484375,0.7157930326540534,50.47627445760287,17
lat_x_log_area,21615.92578125,0.6776641764983214,51.15393863410119,18
compactness_x_brightness,21010.568359375,0.6586860840060763,51.812624718107266,19
bbox_height,20954.67578125,0.6569338390034449,52.46955855711071,20
img_blue_mean_date5,20625.037109375,0.6465995918664594,53.11615814897717,21
log_area_x_status_max,19627.767578125,0.6153349658457868,53.73149311482296,22
fill_ratio,17258.95703125,0.5410722178712812,54.27256533269424,23
n_neighbors_500m,17250.5390625,0.5408083126414759,54.813373645335716,24
gri_date5,15879.2255859375,0.4978173240888663,55.31119096942458,25
std_area_neighbors_1km,15330.6083984375,0.4806180508149684,55.79180902023955,26
te_geography_type_class5,15289.70703125,0.4793357836757643,56.27114480391531,27
lat_x_lon,14814.1591796875,0.4644272506582156,56.73557205457353,28
dist_nearest_neighbor,14256.5078125,0.44694475380184334,57.182516808375375,29
chrono_status_max_jump,14004.931640625,0.43905778374719256,57.62157459212257,30
te_geo_cell_class0,13990.4599609375,0.43860409330630085,58.06017868542887,31
mean_area_neighbors_1km,13645.1728515625,0.42777926410407163,58.48795794953295,32
chrono_time_delta_1_2,13242.13671875,0.41514398991755663,58.90310193945051,33
n_neighbors_1km,12151.470703125,0.3809513629261033,59.28405330237661,34
te_geography_type_class3,11970.18359375,0.3752679709248718,59.65932127330149,35
total_time_span,11878.5830078125,0.37239627177748,60.03171754507897,36
bbox_width,11796.138671875,0.3698116231445494,60.40152916822352,37
date0_timestamp,11457.560546875,0.35919712212431126,60.76072629034783,38
color_std_date5,11321.1923828125,0.3549219492478313,61.115648239595664,39
exg_date5,10779.6123046875,0.33794329094910497,61.45359153054477,40
exg_last_x_centroid_lat,10352.2978515625,0.3245468859136118,61.77813841645838,41
date3_dayofyear,10197.8984375,0.319706429259507,62.09784484571789,42
bbox_aspect_ratio,10030.12890625,0.31444681639875877,62.412291662116644,43
chrono_status_delta_3_4,10023.8486328125,0.31424992840190513,62.72654159051855,44
chrono_status_0,10008.185546875,0.3137588871048229,63.040300477623376,45
vari_date5,10006.3828125,0.3137023709732428,63.35400284859662,46
bri_date5,9974.6787109375,0.3127084401976473,63.66671128879427,47
exg_date4,9797.5595703125,0.307155714962171,63.97386700375644,48
img_blue_mean_date4,9608.8447265625,0.30123946180341044,64.27510646555984,49
te_change_status_date4_class5,9266.7294921875,0.2905140716019246,64.56562053716176,50
te_geography_type_class2,9042.896484375,0.28349685603376357,64.84911739319553,51
chrono_time_delta_3_4,8961.8935546875,0.2809573958137324,65.13007478900926,52
elongation_x_log_area,8842.998046875,0.27722999467410614,65.40730478368336,53
delta_red_mean_d1_d2,8604.8251953125,0.26976322175159917,65.67706800543496,54
n_large_neighbors_1km,8576.5859375,0.2688779146135153,65.94594592004847,55
te_geography_type_class4,8537.6494140625,0.2676572457715697,66.21360316582005,56
te_change_status_date0_class2,8447.6630859375,0.2648361539727705,66.47843931979281,57
status_change_rate,8391.283203125,0.26306863185764806,66.74150795165046,58
bri_date2,8356.3154296875,0.26197238422845526,67.00348033587892,59
elongation,8284.2236328125,0.25971229004345586,67.26319262592237,60
bri_date1,8175.453125,0.25630230995053754,67.51949493587291,61
color_std_date3,8140.044921875,0.2551922547507366,67.77468719062365,62
te_change_status_date3_class4,8075.89404296875,0.25318111014533845,68.02786830076899,63
bbox_area,8070.2841796875,0.25300523965895594,68.28087354042795,64
exg_date1,7980.7080078125,0.2501970063516322,68.53107054677957,65
date2_dayofyear,7979.8466796875,0.25017000351953383,68.7812405502991,66
te_change_status_date2_class1,7932.21044921875,0.2486765968887574,69.02991714718786,67
chrono_status_3,7921.1572265625,0.2483300758512223,69.27824722303909,68
n_vertices_x_area,7808.8232421875,0.2448083799597472,69.52305560299884,69
te_change_status_date4_class4,7667.27099609375,0.24037068493565455,69.7634262879345,70
area_x_status_mean,7630.1279296875,0.23920624137845803,70.00263252931295,71
te_change_status_date3_class2,7594.6845703125,0.2380950840222449,70.2407276133352,72
color_std_date2,7592.24560546875,0.23801862192114992,70.47874623525635,73
delta_blue_mean_d3_d4,7542.27587890625,0.23645205965851498,70.71519829491487,74
centroid_lon,7507.83984375,0.2353724821450564,70.95057077705992,75
te_geography_type_class1,7490.35595703125,0.23482435833045998,71.18539513539038,76
exg_date2,7476.8642578125,0.23440139049955783,71.41979652588994,77
n_vertices,7263.5859375,0.2277150667786981,71.64751159266864,78
img_blue_std_date4,7186.1806640625,0.22528839389818,71.87279998656682,79
color_std_date4,7134.61572265625,0.22367182128834243,72.09647180785517,80
img_blue_std_date5,7112.81787109375,0.22298845369733475,72.3194602615525,81
te_change_status_date1_class2,7107.58056640625,0.22282426300737576,72.54228452455989,82
te_urban_type_class4,7102.90576171875,0.22267770682001167,72.7649622313799,83
date0_dayofyear,7010.021484375,0.21976576365584735,72.98472799503574,84
delta_red_std_d4_d5,6948.990234375,0.21785242012430228,73.20258041516004,85
area_perimeter_ratio,6903.1806640625,0.2164162797037754,73.41899669486382,86
te_change_status_date0_class5,6902.2294921875,0.21638646024973474,73.63538315511356,87
color_std_date1,6891.1611328125,0.2160394646726333,73.85142261978619,88
cov_mean,6889.81591796875,0.21599729188213945,74.06741991166832,89
area_per_vertex,6885.1904296875,0.215852281775298,74.28327219344362,90
chrono_date1_ts,6856.0224609375,0.21493785933865903,74.49821005278228,91
te_urban_type_class1,6804.8271484375,0.2133328746788773,74.71154292746117,92
te_change_status_date1_class4,6728.7685546875,0.2109484205120369,74.9224913479732,93
date1_timestamp,6668.56640625,0.20906106950254574,75.13155241747575,94
chrono_date2_ts,6615.564453125,0.20739944624936033,75.3389518637251,95
delta_red_mean_d2_d3,6590.67919921875,0.20661928789454403,75.54557115161964,96
cov_green_date5,6585.8203125,0.20646696069374393,75.75203811231339,97
te_change_status_date4_class0,6565.66748046875,0.20583516483818953,75.95787327715158,98
te_change_status_date1_class3,6539.40283203125,0.20501176215192313,76.1628850393035,99
delta_red_mean_d3_d4,6431.0986328125,0.20161640093919417,76.36450144024269,100
img_green_std_date3,6429.361328125,0.20156193604315892,76.56606337628585,101
img_green_std_date5,6383.5244140625,0.200124938389867,76.76618831467572,102
blue_mean_overall_mean,6335.6328125,0.1986235258173743,76.96481184049308,103
cov_blue_date1,6273.57666015625,0.1966780513648686,77.16148989185795,104
img_blue_mean_date3,6269.25439453125,0.1965425473570822,77.35803243921504,105
